Line, Text, Length, Word, Foot, Half-line
1,"ὣς",long,1,1,hemi1,
1,"οἱ",long,2,1,hemi1,
1,"μὲν",long,3,2,hemi1,
1,"Τρῶ",long,4,2,hemi1,
1,"ες",long,4,3,hemi1,
1,"φυ",short,5,3,hemi2,
1,"λα",short,5,3,hemi2,
1,"κὰς",long,5,4,hemi2,
1,"ἔ",short,6,4,hemi2,
1,"χον·",short,6,4,hemi2,
1,"αὐ",long,7,5,hemi2,
1,"τὰρ",short,7,5,hemi2,
1,"Ἀ",short,8,5,hemi2,
1,"χαι",long,8,6,hemi2,
1,"οὺς",long,8,6,hemi2,
2,"θε",long,1,1,hemi1,
2,"σπε",short,1,1,hemi1,
2,"σί",short,1,1,hemi1,
2,"η",long,1,2,hemi1,
2,"ἔ",short,2,2,hemi1,
2,"χε",short,2,2,hemi1,
2,"φύ",long,3,3,hemi1,
2,"ζα",short,3,3,hemi1,
2,"φό",short,4,3,hemi2,
2,"βου",long,4,4,hemi2,
2,"κρυ",short,5,4,hemi2,
2,"ό",short,5,4,hemi2,
2,"εν",long,5,5,hemi2,
2,"τος",short,5,5,hemi2,
2,"ἑ",short,6,5,hemi2,
2,"ταί",long,6,6,hemi2,
2,"ρη,",long,6,6,hemi2,
3,"πέν",long,1,1,hemi1,
3,"θε",short,1,1,hemi1,
3,"ϊ",short,1,1,hemi1,
3,"δ’ἀτ",long,2,2,hemi1,
3,"λή",long,2,2,hemi1,
3,"τῳ",long,2,3,hemi1,
3,"βε",short,3,3,hemi2,
3,"βο",short,3,3,hemi2,
3,"λή",long,3,4,hemi2,
3,"α",short,3,4,hemi2,
3,"το",short,3,4,hemi2,
3,"πάν",long,4,5,hemi2,
3,"τες",short,4,5,hemi2,
3,"ἄ",short,5,5,hemi2,
3,"ρι",long,5,6,hemi2,
3,"στοι.",long,5,6,hemi2,
4,"ὡς",long,1,1,hemi1,
4,"δ’ἄ",short,2,1,hemi1,
4,"νε",short,2,1,hemi1,
4,"μοι",long,2,2,hemi1,
4,"δύ",short,3,2,hemi1,
4,"ο",short,3,2,hemi1,
4,"πόν",long,4,3,hemi1,
4,"τον",short,4,3,hemi1,
4,"ὀ",short,5,3,hemi2,
4,"ρί",long,5,4,hemi2,
4,"νε",short,5,4,hemi2,
4,"τον",short,5,4,hemi2,
4,"ἰχ",long,6,5,hemi2,
4,"θυ",short,6,5,hemi2,
4,"ό",short,6,5,hemi2,
4,"εν",long,6,6,hemi2,
4,"τα",long,6,6,hemi2,
5,"Βο",long,1,1,hemi1,
5,"ρέης",long,1,1,hemi1,
5,"καὶ",long,2,2,hemi1,
5,"Ζέ",short,3,2,hemi1,
5,"φυ",short,3,2,hemi1,
5,"ρος,",long,3,3,hemi1,
5,"τώ",long,4,3,hemi2,
5,"τε",long,5,4,hemi2,
5,"Θρῄ",long,6,4,hemi2,
5,"κη",long,6,5,hemi2,
5,"θεν",short,6,5,hemi2,
5,"ἄ",short,7,5,hemi2,
5,"η",long,7,6,hemi2,
5,"τον",long,7,6,hemi2,
6,"ἐλ",long,1,1,hemi1,
6,"θόντ’",long,1,1,hemi1,
6,"ἐ",long,2,2,hemi1,
6,"ξα",short,2,2,hemi1,
6,"πί",short,2,2,hemi1,
6,"νης·",long,2,3,hemi1,
6,"ἄ",short,3,3,hemi2,
6,"μυ",short,3,3,hemi2,
6,"δις",long,3,4,hemi2,
6,"δέ",short,4,4,hemi2,
6,"τε",short,5,4,hemi2,
6,"κῦ",long,6,5,hemi2,
6,"μα",short,6,5,hemi2,
6,"κε",short,7,5,hemi2,
6,"λαι",long,7,6,hemi2,
6,"νὸν",long,7,6,hemi2,
7,"κορ",long,1,1,hemi1,
7,"θύ",short,1,1,hemi1,
7,"ε",short,1,1,hemi1,
7,"ται,",long,1,2,hemi1,
7,"πολ",long,2,2,hemi1,
7,"λὸν",long,2,3,hemi1,
7,"δὲ",short,3,3,hemi1,
7,"πα",short,4,3,hemi2,
7,"ρὲξ",long,4,4,hemi2,
7,"ἅ",short,5,4,hemi2,
7,"λα",short,5,4,hemi2,
7,"φῦ",long,6,5,hemi2,
7,"κος",short,6,5,hemi2,
7,"ἔ",short,7,5,hemi2,
7,"χευ",long,7,6,hemi2,
7,"εν·",long,7,6,hemi2,
8,"ὣς",long,1,1,hemi1,
8,"ἐ",short,2,1,hemi1,
8,"δα",short,2,1,hemi1,
8,"ΐ",long,2,2,hemi1,
8,"ζε",short,2,2,hemi1,
8,"το",short,2,2,hemi1,
8,"θυ",long,3,3,hemi1,
8,"μὸς",short,3,3,hemi1,
8,"ἐ",short,4,3,hemi2,
8,"νὶ",long,4,4,hemi2,
8,"στή",long,5,4,hemi2,
8,"θεσ",long,5,5,hemi2,
8,"σιν",short,5,5,hemi2,
8,"Ἀ",short,6,5,hemi2,
8,"χαι",long,6,6,hemi2,
8,"ῶν.",long,6,6,hemi2,
9,"Ἀ",long,1,1,hemi1,
9,"τρε",short,1,1,hemi1,
9,"ΐ",short,1,1,hemi1,
9,"δης",long,1,2,hemi1,
9,"δ’ἄ",short,2,2,hemi1,
9,"χε",short,2,2,hemi1,
9,"ϊ",long,2,3,hemi1,
9,"με",short,3,3,hemi2,
9,"γά",short,3,3,hemi2,
9,"λῳ",long,3,4,hemi2,
9,"βε",short,4,4,hemi2,
9,"βο",short,4,4,hemi2,
9,"λη",long,4,5,hemi2,
9,"μέ",short,4,5,hemi2,
9,"νος",short,4,5,hemi2,
9,"ἦ",long,5,6,hemi2,
9,"τορ",long,5,6,hemi2,
10,"φοί",long,1,1,hemi1,
10,"τα",long,1,1,hemi1,
10,"κη",long,2,2,hemi1,
10,"ρύ",long,2,2,hemi1,
10,"κεσ",long,2,3,hemi1,
10,"σι",short,2,3,hemi1,
10,"λι",short,3,3,hemi2,
10,"γυφ",long,3,4,hemi2,
10,"θόγ",long,3,4,hemi2,
10,"γοι",long,3,5,hemi2,
10,"σι",short,3,5,hemi2,
10,"κε",short,4,5,hemi2,
10,"λεύ",long,4,6,hemi2,
10,"ων",long,4,6,hemi2,
11,"κλή",long,1,1,hemi1,
11,"δην",long,1,1,hemi1,
11,"εἰς",long,2,2,hemi1,
11,"ἀ",short,3,2,hemi1,
11,"γο",short,3,2,hemi1,
11,"ρὴν",long,3,3,hemi1,
11,"κι",long,4,3,hemi2,
11,"κλή",long,4,4,hemi2,
11,"σκειν",long,4,4,hemi2,
11,"ἄν",long,5,5,hemi2,
11,"δρα",short,5,5,hemi2,
11,"ἕ",short,6,5,hemi2,
11,"κα",long,6,6,hemi2,
11,"στον,",long,6,6,hemi2,
12,"μὴ",long,1,1,hemi1,
12,"δὲ",short,2,1,hemi1,
12,"βο",short,3,1,hemi1,
12,"ᾶν·",long,3,2,hemi1,
12,"αὐ",long,4,2,hemi1,
12,"τὸς",long,4,3,hemi1,
12,"δὲ",short,5,3,hemi1,
12,"με",short,6,3,hemi2,
12,"τὰ",long,6,4,hemi2,
12,"πρώ",long,7,4,hemi2,
12,"τοι",long,7,5,hemi2,
12,"σι",short,7,5,hemi2,
12,"πο",short,8,5,hemi2,
12,"νεῖ",long,8,6,hemi2,
12,"το.",long,8,6,hemi2,
13,"ἷ",long,1,1,hemi1,
13,"ζον",long,1,1,hemi1,
13,"δ’εἰν",long,2,2,hemi1,
13,"ἀ",short,3,2,hemi1,
13,"γο",short,3,2,hemi1,
13,"ρῇ",long,3,3,hemi1,
13,"τε",short,4,3,hemi2,
13,"τι",short,4,3,hemi2,
13,"η",long,4,4,hemi2,
13,"ό",short,4,4,hemi2,
13,"τες·",short,4,4,hemi2,
13,"ἂν",long,5,5,hemi2,
13,"δ’Ἀ",short,6,5,hemi2,
13,"γα",short,6,5,hemi2,
13,"μέμ",long,6,6,hemi2,
13,"νων",long,6,6,hemi2,
14,"ἵ",long,1,1,hemi1,
14,"στα",short,1,1,hemi1,
14,"το",short,1,1,hemi1,
14,"δά",long,2,2,hemi1,
14,"κρυ",short,2,2,hemi1,
14,"χέ",short,3,2,hemi1,
14,"ων",long,3,3,hemi1,
14,"ὥς",long,4,3,hemi2,
14,"τε",long,5,4,hemi2,
14,"κρή",long,6,4,hemi2,
