Line, Text, Length, Word, Foot, Half-line
1,"ὣς",long,1,1,hemi1,
1,"εἰ",long,2,1,hemi1,
1,"πὼν",long,2,2,hemi1,
1,"πυ",long,3,2,hemi1,
1,"λέων",long,3,3,hemi1,
1,"ἐ",long,4,3,hemi2,
1,"ξέ",long,4,4,hemi2,
1,"σσυ",short,4,4,hemi2,
1,"το",short,4,4,hemi2,
1,"φαί",long,5,5,hemi2,
1,"δι",short,5,5,hemi2,
1,"μος",short,5,5,hemi2,
1,"Ἕ",long,6,6,hemi2,
1,"κτωρ,",long,6,6,hemi2,
2,"τῷ",long,1,1,hemi1,
2,"δ’ἅμ’",short,2,1,hemi1,
2,"Ἀ",short,3,1,hemi1,
2,"λέ",long,3,2,hemi1,
2,"ξα",long,3,2,hemi1,
2,"νδρος",long,3,3,hemi1,
2,"κί’",short,4,3,hemi2,
2,"ἀ",short,5,3,hemi2,
2,"δε",long,5,4,hemi2,
2,"λφε",short,5,4,hemi2,
2,"ός·",short,5,4,hemi2,
2,"ἐν",long,6,5,hemi2,
2,"δ’ἄ",short,7,5,hemi2,
2,"ρα",short,7,5,hemi2,
2,"θυ",long,8,6,hemi2,
2,"μῷ",long,8,6,hemi2,
3,"ἀ",long,1,1,hemi1,
3,"μφό",short,1,1,hemi1,
3,"τε",short,1,1,hemi1,
3,"ροι",long,1,2,hemi1,
3,"μέ",short,2,2,hemi1,
3,"μα",short,2,2,hemi1,
3,"σαν",long,2,3,hemi1,
3,"πο",short,3,3,hemi2,
3,"λε",short,3,3,hemi2,
3,"μί",long,3,4,hemi2,
3,"ζειν",long,3,4,hemi2,
3,"ἠ",long,4,5,hemi2,
3,"δὲ",short,4,5,hemi2,
3,"μά",short,5,5,hemi2,
3,"χε",long,5,6,hemi2,
3,"σθαι.",long,5,6,hemi2,
4,"ὡς",long,1,1,hemi1,
4,"δὲ",short,2,1,hemi1,
4,"θε",short,3,1,hemi1,
4,"ὸς",long,3,2,hemi1,
4,"ναύ",long,4,2,hemi1,
4,"τῃ",long,4,3,hemi1,
4,"σιν",short,4,3,hemi1,
4,"ἐ",short,5,3,hemi2,
4,"ε",long,5,4,hemi2,
4,"λδο",short,5,4,hemi2,
4,"μέ",short,5,4,hemi2,
4,"νοι",long,5,5,hemi2,
4,"σιν",short,5,5,hemi2,
4,"ἔ",short,6,5,hemi2,
4,"δω",long,6,6,hemi2,
4,"κεν",long,6,6,hemi2,
5,"οὖ",long,1,1,hemi1,
5,"ρον,",short,1,1,hemi1,
5,"ἐ",short,2,1,hemi1,
5,"πεί",long,2,2,hemi1,
5,"κε",short,3,2,hemi1,
5,"κά",short,4,2,hemi1,
5,"μω",long,4,3,hemi1,
5,"σιν",short,4,3,hemi1,
5,"ἐ",short,5,3,hemi2,
5,"ϋ",long,5,4,hemi2,
5,"ξέ",long,5,4,hemi2,
5,"στῃς",long,5,5,hemi2,
5,"ἐ",short,6,5,hemi2,
5,"λά",short,6,5,hemi2,
5,"τῃ",long,6,6,hemi2,
5,"σι",long,6,6,hemi2,
6,"πό",long,1,1,hemi1,
6,"ντον",short,1,1,hemi1,
6,"ἐ",short,2,1,hemi1,
6,"λαύ",long,2,2,hemi1,
6,"νο",long,2,2,hemi1,
6,"ντες,",long,2,3,hemi1,
6,"κα",short,3,3,hemi2,
6,"μά",short,3,3,hemi2,
6,"τῳ",long,3,4,hemi2,
6,"δ’ὑ",short,4,4,hemi2,
6,"πὸ",short,4,4,hemi2,
6,"γυῖ",long,5,5,hemi2,
6,"α",short,5,5,hemi2,
6,"λέ",short,6,5,hemi2,
6,"λυ",long,6,6,hemi2,
6,"νται,",long,6,6,hemi2,
7,"ὣς",long,1,1,hemi1,
7,"ἄ",short,2,1,hemi1,
7,"ρα",short,2,1,hemi1,
7,"τὼ",long,3,2,hemi1,
7,"Τρώ",long,4,2,hemi1,
7,"ε",long,4,3,hemi1,
7,"σσιν",short,4,3,hemi1,
7,"ἐ",short,5,3,hemi2,
7,"ε",long,5,4,hemi2,
7,"λδο",short,5,4,hemi2,
7,"μέ",short,5,4,hemi2,
7,"νοι",long,5,5,hemi2,
7,"σι",short,5,5,hemi2,
7,"φα",short,6,5,hemi2,
7,"νή",long,6,6,hemi2,
7,"την.",long,6,6,hemi2,
8,"ἔνθ’",long,1,1,hemi1,
8,"ἑ",short,2,1,hemi1,
8,"λέ",short,2,1,hemi1,
8,"την",long,2,2,hemi1,
8,"ὃ",short,3,2,hemi1,
8,"μὲν",short,4,2,hemi1,
8,"υἱ",long,5,3,hemi1,
8,"ὸν",short,5,3,hemi1,
8,"Ἀ",short,6,3,hemi2,
8,"ρη",long,6,4,hemi2,
8,"ϊ",short,6,4,hemi2,
8,"θό",short,6,4,hemi2,
8,"οι",long,6,5,hemi2,
8,"ο",short,6,5,hemi2,
8,"ἄ",short,7,5,hemi2,
8,"να",long,7,6,hemi2,
8,"κτος",long,7,6,hemi2,
9,"Ἄ",long,1,1,hemi1,
9,"ρνῃ",long,1,1,hemi1,
9,"ναι",long,2,2,hemi1,
9,"ε",short,2,2,hemi1,
9,"τά",short,2,2,hemi1,
9,"ο",long,2,3,hemi1,
9,"ντα",short,2,3,hemi1,
9,"Με",short,3,3,hemi2,
9,"νέ",long,3,4,hemi2,
9,"σθι",short,3,4,hemi2,
9,"ον,",short,3,4,hemi2,
9,"ὃν",long,4,5,hemi2,
9,"κο",short,5,5,hemi2,
9,"ρυ",short,5,5,hemi2,
9,"νή",long,5,6,hemi2,
9,"της",long,5,6,hemi2,
10,"γεί",long,1,1,hemi1,
10,"νατ’",short,1,1,hemi1,
10,"Ἀ",short,2,1,hemi1,
10,"ρη",long,2,2,hemi1,
10,"ΐ",short,2,2,hemi1,
10,"θο",short,2,2,hemi1,
10,"ος",long,2,3,hemi1,
10,"καὶ",long,3,3,hemi2,
10,"Φυ",long,4,4,hemi2,
10,"λο",short,4,4,hemi2,
10,"μέ",short,4,4,hemi2,
10,"δου",long,4,5,hemi2,
10,"σα",short,4,5,hemi2,
10,"βο",short,5,5,hemi2,
10,"ῶ",long,5,6,hemi2,
10,"πις·",long,5,6,hemi2,
11,"Ἕ",long,1,1,hemi1,
11,"κτωρ",long,1,1,hemi1,
11,"δ’Ἠ",long,2,2,hemi1,
11,"ϊ",short,2,2,hemi1,
11,"ο",short,2,2,hemi1,
11,"νῆ",long,2,3,hemi1,
11,"α",short,2,3,hemi1,
11,"βάλ’",short,3,3,hemi2,
11,"ἔ",long,4,4,hemi2,
11,"γχε",short,4,4,hemi2,
11,"ϊ",short,4,4,hemi2,
11,"ὀ",long,5,5,hemi2,
11,"ξυ",short,5,5,hemi2,
11,"ό",short,5,5,hemi2,
11,"ε",long,5,6,hemi2,
11,"ντι",long,5,6,hemi2,
12,"αὐ",long,1,1,hemi1,
12,"χέν’",short,1,1,hemi1,
12,"ὑ",short,2,1,hemi1,
12,"πὸ",long,2,2,hemi1,
12,"στε",short,3,2,hemi1,
12,"φά",short,3,2,hemi1,
12,"νης",long,3,3,hemi1,
12,"εὐ",long,4,3,hemi2,
12,"χά",long,4,4,hemi2,
12,"λκου,",long,4,4,hemi2,
12,"λύ",long,5,5,hemi2,
12,"ντο",short,5,5,hemi2,
12,"δὲ",short,6,5,hemi2,
12,"γυῖ",long,7,6,hemi2,
12,"α.",long,7,6,hemi2,
13,"Γλαῦ",long,1,1,hemi1,
13,"κος",long,1,1,hemi1,
13,"δ’Ἱ",long,2,2,hemi1,
13,"ππο",short,2,2,hemi1,
13,"λό",short,2,2,hemi1,
13,"χοι",long,2,3,hemi1,
13,"ο",short,2,3,hemi1,
13,"πά",short,3,3,hemi2,
13,"ϊς",long,3,4,hemi2,
13,"Λυ",short,4,4,hemi2,
13,"κί",short,4,4,hemi2,
13,"ων",long,4,5,hemi2,
13,"ἀ",short,5,5,hemi2,
13,"γὸς",short,5,5,hemi2,
13,"ἀ",long,6,6,hemi2,
13,"νδρῶν",long,6,6,hemi2,
14,"Ἰ",long,1,1,hemi1,
14,"φί",short,1,1,hemi1,
14,"νο",short,1,1,hemi1,
14,"ον",long,1,2,hemi1,
14,"βά",short,2,2,hemi1,
14,"λε",short,2,2,hemi1,
14,"δου",long,3,3,hemi1,
14,"ρὶ",short,3,3,hemi1,
14,"κα",short,4,3,hemi2,
14,"τὰ",long,4,4,hemi2,
14,"κρα",short,5,4,hemi2,
14,"τε",short,5,4,hemi2,
14,"ρὴν",long,5,5,hemi2,
14,"ὑ",long,6,5,hemi2,
14,"σμί",long,6,6,hemi2,
14,"νην",long,6,6,hemi2,
15,"Δε",long,1,1,hemi1,
15,"ξι",short,1,1,hemi1,
15,"ά",short,1,1,hemi1,
15,"δην",long,1,2,hemi1,
15,"ἵ",long,2,2,hemi1,
15,"ππων",long,2,3,hemi1,
15,"ἐ",short,3,3,hemi2,
15,"πι",short,3,3,hemi2,
15,"ά",long,3,4,hemi2,
15,"λμε",short,3,4,hemi2,
15,"νον",short,3,4,hemi2,
15,"ὠ",long,4,5,hemi2,
15,"κει",long,4,5,hemi2,
15,"ά",long,4,6,hemi2,
15,"ων",long,4,6,hemi2,
16,"ὦ",long,1,1,hemi1,
16,"μον·",short,1,1,hemi1,
16,"ὃ",short,2,1,hemi1,
16,"δ’ἐξ",long,3,2,hemi1,
16,"ἵ",long,4,2,hemi1,
16,"ππων",long,4,3,hemi1,
16,"χα",short,5,3,hemi2,
16,"μά",short,5,3,hemi2,
16,"δις",long,5,4,hemi2,
16,"πέ",short,6,4,hemi2,
16,"σε,",short,6,4,hemi2,
16,"λύ",long,7,5,hemi2,
16,"ντο",short,7,5,hemi2,
16,"δὲ",short,8,5,hemi2,
16,"γυῖ",long,9,6,hemi2,
16,"α.",long,9,6,hemi2,
17,"τοὺς",long,1,1,hemi1,
