Line, Text, Length, Word, Foot, Half-line
1,"αὐ",long,1,1,hemi1,
1,"τὰρ",short,1,1,hemi1,
1,"ἐ",short,2,1,hemi1,
1,"πεὶ",long,2,2,hemi1,
1,"δι",short,3,2,hemi1,
1,"ά",short,3,2,hemi1,
1,"τε",long,4,3,hemi1,
1,"σκό",short,5,3,hemi2,
1,"λο",short,5,3,hemi2,
1,"πας",long,5,4,hemi2,
1,"καὶ",long,6,4,hemi2,
1,"τά",long,7,5,hemi2,
1,"φρον",short,7,5,hemi2,
1,"ἔ",short,8,5,hemi2,
1,"βη",long,8,6,hemi2,
1,"σαν",long,8,6,hemi2,
2,"φεύ",long,1,1,hemi1,
2,"γο",long,1,1,hemi1,
2,"ντες,",long,1,2,hemi1,
2,"πο",long,2,2,hemi1,
2,"λλοὶ",long,2,3,hemi1,
2,"δὲ",short,3,3,hemi1,
2,"δά",short,4,3,hemi2,
2,"μεν",long,4,4,hemi2,
2,"Δα",short,5,4,hemi2,
2,"να",short,5,4,hemi2,
2,"ῶν",long,5,5,hemi2,
2,"ὑ",short,6,5,hemi2,
2,"πὸ",short,6,5,hemi2,
2,"χε",long,7,6,hemi2,
2,"ρσίν,",long,7,6,hemi2,
3,"οἳ",long,1,1,hemi1,
3,"μὲν",long,2,1,hemi1,
3,"δὴ",long,3,2,hemi1,
3,"παρ’",short,4,2,hemi1,
3,"ὄ",short,5,2,hemi1,
3,"χε",long,5,3,hemi1,
3,"σφιν",short,5,3,hemi1,
3,"ἐ",short,6,3,hemi2,
3,"ρη",long,6,4,hemi2,
3,"τύ",long,6,4,hemi2,
3,"ο",long,6,5,hemi2,
3,"ντο",short,6,5,hemi2,
3,"μέ",short,7,5,hemi2,
3,"νο",long,7,6,hemi2,
3,"ντες",long,7,6,hemi2,
4,"χλω",long,1,1,hemi1,
4,"ροὶ",short,1,1,hemi1,
4,"ὑ",short,2,1,hemi1,
4,"παὶ",long,2,2,hemi1,
4,"δεί",long,3,2,hemi1,
4,"ους",long,3,3,hemi1,
4,"πε",short,4,3,hemi2,
4,"φο",short,4,3,hemi2,
4,"βη",long,4,4,hemi2,
4,"μέ",short,4,4,hemi2,
4,"νοι·",short,4,4,hemi2,
4,"ἔ",long,5,5,hemi2,
4,"γρε",short,5,5,hemi2,
4,"το",short,5,5,hemi2,
4,"δὲ",long,6,6,hemi2,
4,"Ζεὺς",long,7,6,hemi2,
5,"Ἴ",long,1,1,hemi1,
5,"δης",long,1,1,hemi1,
5,"ἐν",long,2,2,hemi1,
5,"κο",short,3,2,hemi1,
5,"ρυ",short,3,2,hemi1,
5,"φῇ",long,3,3,hemi1,
5,"σι",short,3,3,hemi1,
5,"πα",short,4,3,hemi2,
5,"ρὰ",long,4,4,hemi2,
5,"χρυ",long,5,4,hemi2,
5,"σο",long,5,5,hemi2,
5,"θρό",short,5,5,hemi2,
5,"νου",short,5,5,hemi2,
5,"Ἥ",long,6,6,hemi2,
5,"ρης,",long,6,6,hemi2,
6,"στῆ",long,1,1,hemi1,
6,"δ’ἄρ’",short,2,1,hemi1,
6,"ἀ",short,3,1,hemi1,
6,"να",long,3,2,hemi1,
6,"ΐ",long,3,2,hemi1,
6,"ξας,",long,3,3,hemi1,
6,"ἴ",short,4,3,hemi2,
6,"δε",short,4,3,hemi2,
6,"δὲ",long,5,4,hemi2,
6,"Τρῶ",long,6,4,hemi2,
6,"ας",long,6,5,hemi2,
6,"καὶ",short,7,5,hemi2,
6,"Ἀ",short,8,5,hemi2,
6,"χαι",long,8,6,hemi2,
6,"οὺς",long,8,6,hemi2,
7,"τοὺς",long,1,1,hemi1,
7,"μὲν",short,2,1,hemi1,
7,"ὀ",short,3,1,hemi1,
7,"ρι",long,3,2,hemi1,
7,"νο",short,3,2,hemi1,
7,"μέ",short,3,2,hemi1,
7,"νους,",long,3,3,hemi1,
7,"τοὺς",long,4,3,hemi2,
7,"δὲ",long,5,4,hemi2,
