Line, Text, Length, Word, Foot, Half-line
1,"ὣς",long,1,1,hemi1,
1,"οἳ",long,2,1,hemi1,
1,"μὲν",long,3,2,hemi1,
1,"στε",short,4,2,hemi1,
1,"νά",short,4,2,hemi1,
1,"χο",long,4,3,hemi1,
1,"ντο",short,4,3,hemi1,
1,"κα",short,5,3,hemi2,
1,"τὰ",long,5,4,hemi2,
1,"πτό",short,6,4,hemi2,
1,"λιν·",short,6,4,hemi2,
1,"αὐ",long,7,5,hemi2,
1,"τὰρ",short,7,5,hemi2,
1,"Ἀ",short,8,5,hemi2,
1,"χαι",long,8,6,hemi2,
1,"οὶ",long,8,6,hemi2,
2,"ἦ ἐ",long,1,1,hemi1,
2,"πεὶ",long,2,1,hemi1,
2,"δὴ",long,3,2,hemi1,
2,"νῆ",long,4,2,hemi1,
2,"ας",long,4,3,hemi1,
2,"τε",short,5,3,hemi1,
2,"καὶ",short,6,3,hemi2,
2,"Ἑ",long,7,4,hemi2,
2,"λλή",long,7,4,hemi2,
2,"σπο",long,7,5,hemi2,
2,"ντον",short,7,5,hemi2,
2,"ἵ",short,8,5,hemi2,
2,"κο",long,8,6,hemi2,
2,"ντο,",long,8,6,hemi2,
3,"οἳ",long,1,1,hemi1,
3,"μὲν",short,2,1,hemi1,
3,"ἄρ’",short,3,1,hemi1,
3,"ἐ",long,4,2,hemi1,
3,"σκί",long,4,2,hemi1,
3,"δνα",long,4,3,hemi1,
3,"ντο",short,4,3,hemi1,
3,"ἑ",short,5,3,hemi2,
3,"ὴν",long,5,4,hemi2,
3,"ἐ",short,6,4,hemi2,
3,"πὶ",short,6,4,hemi2,
3,"νῆ",long,7,5,hemi2,
3,"α",short,7,5,hemi2,
3,"ἕ",short,8,5,hemi2,
3,"κα",long,8,6,hemi2,
3,"στος,",long,8,6,hemi2,
4,"Μυ",long,1,1,hemi1,
4,"ρμι",short,1,1,hemi1,
4,"δό",short,1,1,hemi1,
4,"νας",long,1,2,hemi1,
4,"δ’οὐκ",long,2,2,hemi1,
4,"εἴ",long,3,3,hemi1,
4,"α ἀ",long,3,3,hemi1,
4,"πο",long,4,4,hemi1,
4,"σκί",long,4,4,hemi1,
4,"δνα",long,4,5,hemi1,
4,"σθαι",short,4,5,hemi1,
4,"Ἀ",short,5,5,hemi1,
4,"χι",long,5,6,hemi1,
4,"λλεύς,",long,5,6,hemi1,
5,"ἀλλ’",long,1,1,hemi1,
5,"ὅ",short,2,1,hemi1,
5,"γε",short,3,1,hemi1,
5,"οἷς",long,4,2,hemi1,
5,"ἑ",short,5,2,hemi1,
5,"τά",short,5,2,hemi1,
5,"ροι",long,5,3,hemi1,
5,"σι",short,5,3,hemi1,
5,"φι",short,6,3,hemi2,
5,"λο",long,6,4,hemi2,
5,"πτο",short,6,4,hemi2,
5,"λέ",short,6,4,hemi2,
5,"μοι",long,6,5,hemi2,
5,"σι",short,6,5,hemi2,
5,"με",short,7,5,hemi2,
5,"τηύ",long,7,6,hemi2,
5,"δα·",long,7,6,hemi2,
6,"Μυ",long,1,1,hemi1,Achilles
6,"ρμι",short,1,1,hemi1,Achilles
6,"δό",short,1,1,hemi1,Achilles
6,"νες",long,1,2,hemi1,Achilles
6,"τα",short,2,2,hemi1,Achilles
6,"χύ",short,2,2,hemi1,Achilles
6,"πω",long,2,3,hemi1,Achilles
6,"λοι",short,2,3,hemi1,Achilles
6,"ἐ",short,3,3,hemi2,Achilles
6,"μοὶ",long,3,4,hemi2,Achilles
6,"ἐ",short,4,4,hemi2,Achilles
6,"ρί",short,4,4,hemi2,Achilles
6,"η",long,4,5,hemi2,Achilles
6,"ρες",short,4,5,hemi2,Achilles
6,"ἑ",short,5,5,hemi2,Achilles
6,"ταῖ",long,5,6,hemi2,Achilles
6,"ροι",long,5,6,hemi2,Achilles
